id_campeoes,nome
0,Aatrox
1,Ahri
2,Akali
3,Akshan
4,Alistar
5,Amumu
6,Annie
7,Aphelios
8,Ashe
9,Azir
10,Bel'Veth
11,Blitzcrank
12,Braum
13,Caitlyn
14,Camille
15,Cassiopeia
16,Corki
17,Darius
18,Diana
19,Draven
20,Ezreal
21,Fiora
22,Galio
23,Gangplank
24,Gnar
25,Gragas
26,Graves
27,Gwen
28,Hecarim
29,Irelia
30,Janna
31,Jarvan IV
32,Jax
33,Jayce
34,Jhin
35,Jinx
36,Kai'Sa
37,Kalista
38,Karma
39,Karthus
40,Kassadin
41,Kayle
42,Kennen
43,Kha'Zix
44,Kindred
45,Kog'Maw
46,LeBlanc
47,Lee Sin
48,Leona
49,Lillia
50,Lissandra
51,Lucian
52,Lulu
53,Lux
54,Malphite
55,Maokai
56,Miss Fortune
57,Mordekaiser
58,Morgana
59,Nami
60,Nautilus
61,Nidalee
62,Nilah
63,Nocturne
64,Olaf
65,Orianna
66,Ornn
67,Pantheon
68,Poppy
69,Pyke
70,Quinn
71,Rakan
72,Rell
73,Renata Glasc
74,Renekton
75,Rumble
76,Ryze
77,Samira
78,Sejuani
79,Senna
80,Seraphine
81,Sett
82,Shyvana
83,Sion
84,Sivir
85,Soraka
86,Swain
87,Sylas
88,Syndra
89,Tahm Kench
90,Taliyah
91,Talon
92,Taric
93,Thresh
94,Tristana
95,Trundle
96,Tryndamere
97,Twisted Fate
98,Twitch
99,Udyr
100,Varus
101,Veigar
102,Vel'Koz
103,Vex
104,Vi
105,Viego
106,Viktor
107,Vladimir
108,Volibear
109,Wukong
110,Xayah
111,Xerath
112,Xin Zhao
113,Yasuo
114,Yone
115,Yorick
116,Yuumi
117,Zed
118,Zeri
119,Ziggs
120,Zilean
121,Zoe
122,
