gameid,playerid,position,kills,deaths,assists,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,wardsplaced,wpm,wardskilled,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,goldat15,xpat15,csat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,deathsat15
ESPORTSTMNT03_3087499,13,top,6,2,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13787,574.4583,0.294424,552.2083,12,0.5,2,4,24,1.0,11261,8048,335.3333,0.243865,9900,214.0,206.0,8,8.9167,3524.0,4219.0,79.0,-396.0,-3.0,1.0,1.0,1.0,5933.0,7782.0,129.0,1019.0,11.0,3.0,3.0,2.0,2.0
ESPORTSTMNT03_3087499,29,jng,3,1,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7026,292.75,0.150042,745.0833,9,0.375,14,7,48,2.0,9694,6481,270.0417,0.196382,8225,161.0,25.0,136,6.7083,3960.0,3353.0,56.0,-94.0,-5.0,2.0,1.0,1.0,5484.0,5386.0,89.0,263.0,0.0,2.0,3.0,1.0,1.0
ESPORTSTMNT03_3087499,42,mid,6,0,9,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12485,520.2083,0.26662,441.8333,16,0.6667,1,9,25,1.0417,11625,8412,350.5,0.254895,10150,224.0,216.0,8,9.3333,3534.0,5021.0,96.0,231.0,10.0,0.0,2.0,0.0,6315.0,7738.0,141.0,254.0,10.0,3.0,2.0,0.0,0.0
ESPORTSTMNT03_3087499,36,bot,1,1,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10887,453.625,0.232494,259.875,14,0.5833,8,7,38,1.5833,10082,6869,286.2083,0.208139,8550,211.0,209.0,2,8.7917,3486.0,3157.0,82.0,-53.0,-7.0,0.0,0.0,0.0,5277.0,5023.0,119.0,-489.0,-24.0,0.0,3.0,1.0,1.0
ESPORTSTMNT03_3087499,52,sup,2,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2642,110.0833,0.0564204,138.25,34,1.4167,7,11,50,2.0833,6405,3192,133.0,0.0967183,5275,8.0,8.0,0,0.3333,2069.0,2873.0,4.0,-46.0,2.0,0.0,0.0,0.0,3395.0,4330.0,6.0,54.0,3.0,0.0,4.0,0.0,0.0
ESPORTSTMNT03_3087499,33,top,1,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8875,369.7917,0.287133,529.9167,8,0.3333,3,4,29,1.2083,8398,5185,216.0417,0.263402,8558,191.0,179.0,12,7.9583,3654.0,4615.0,82.0,396.0,3.0,1.0,1.0,1.0,5196.0,6763.0,118.0,-1019.0,-11.0,1.0,3.0,3.0,3.0
ESPORTSTMNT03_3087499,12,jng,0,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3023,125.9583,0.0978032,631.25,11,0.4583,11,12,44,1.8333,6443,3230,134.5833,0.164082,6100,123.0,28.0,95,5.125,3025.0,3447.0,61.0,94.0,5.0,0.0,2.0,2.0,4409.0,5123.0,89.0,-263.0,0.0,0.0,2.0,3.0,3.0
ESPORTSTMNT03_3087499,5,mid,2,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8314,346.4167,0.268983,639.4583,10,0.4167,1,7,19,0.7917,7556,4343,180.9583,0.220626,6975,174.0,174.0,0,7.25,3645.0,4790.0,86.0,-231.0,-10.0,1.0,1.0,0.0,5531.0,7484.0,131.0,-254.0,-10.0,2.0,2.0,1.0,1.0
ESPORTSTMNT03_3087499,18,bot,1,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6924,288.5,0.224012,455.5417,12,0.5,18,5,54,2.25,8748,5535,230.625,0.281183,8125,235.0,235.0,0,9.7917,3333.0,3210.0,89.0,53.0,7.0,0.0,0.0,0.0,5446.0,5512.0,143.0,489.0,24.0,1.0,1.0,1.0,1.0
ESPORTSTMNT03_3087499,45,sup,0,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3773,157.2083,0.122068,220.9583,23,0.9583,2,6,41,1.7083,4605,1392,58.0,0.0707072,4200,4.0,4.0,0,0.1667,2113.0,2919.0,2.0,46.0,-2.0,0.0,1.0,0.0,3145.0,4276.0,3.0,-54.0,-3.0,0.0,3.0,0.0,0.0
ESPORTSTMNT03_3086486,25,top,1,4,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27051,655.517,0.234141,681.4216,11,0.2666,8,6,36,0.8724,14973,9646,233.748,0.206415,13450,272.0,266.0,6,6.5913,3069.0,4500.0,70.0,159.0,-1.0,0.0,0.0,0.0,4622.0,6982.0,112.0,-223.0,-5.0,0.0,0.0,0.0,0.0
ESPORTSTMNT03_3086486,14,jng,4,7,10,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,14617,354.2084,0.126518,951.3005,18,0.4362,22,19,66,1.5994,12917,7590,183.9257,0.16242,12525,183.0,44.0,139,4.4346,2979.0,3006.0,61.0,-252.0,-7.0,0.0,1.0,0.0,4335.0,4412.0,86.0,-1190.0,-11.0,0.0,1.0,2.0,2.0
ESPORTSTMNT03_3086486,53,mid,3,4,13,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,32318,783.1502,0.27973,930.9693,12,0.2908,4,10,27,0.6543,15670,10343,250.6381,0.22133,13950,339.0,316.0,23,8.2149,3319.0,4641.0,88.0,-339.0,-15.0,0.0,1.0,0.0,4932.0,7587.0,142.0,-426.0,-22.0,0.0,1.0,0.0,0.0
ESPORTSTMNT03_3086486,49,bot,10,3,4,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,27151,657.9402,0.235006,691.7205,16,0.3877,9,4,77,1.8659,19912,14585,353.433,0.312101,17200,358.0,316.0,42,8.6753,3745.0,3635.0,88.0,405.0,12.0,1.0,0.0,0.0,5807.0,6437.0,152.0,287.0,15.0,1.0,0.0,0.0,0.0
ESPORTSTMNT03_3086486,15,sup,2,3,17,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,14396,348.853,0.124605,401.5105,107,2.5929,22,25,171,4.1438,9894,4567,110.6704,0.0977335,8275,27.0,27.0,0,0.6543,2089.0,2048.0,2.0,77.0,-2.0,0.0,1.0,0.0,2965.0,3089.0,5.0,-223.0,-6.0,0.0,1.0,0.0,0.0
ESPORTSTMNT03_3086486,16,top,7,3,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23406,567.189,0.188141,912.7948,23,0.5574,12,8,59,1.4297,17478,12151,294.4507,0.252005,15850,313.0,297.0,16,7.5848,2985.0,4341.0,71.0,-159.0,1.0,0.0,0.0,0.0,4952.0,7205.0,117.0,223.0,5.0,1.0,1.0,0.0,0.0
ESPORTSTMNT03_3086486,48,jng,4,3,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17630,427.2213,0.141712,1055.2342,19,0.4604,16,20,70,1.6963,14595,9268,224.588,0.192215,15300,226.0,43.0,183,5.4766,3053.0,3258.0,68.0,252.0,7.0,0.0,0.0,0.0,4941.0,5602.0,97.0,1190.0,11.0,1.0,1.0,0.0,0.0
ESPORTSTMNT03_3086486,57,mid,5,7,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33652,815.4766,0.270499,707.9564,19,0.4604,23,7,78,1.8901,16139,10812,262.0032,0.224235,16375,346.0,318.0,28,8.3845,3457.0,4980.0,103.0,339.0,15.0,0.0,0.0,0.0,5616.0,8013.0,164.0,426.0,22.0,0.0,1.0,0.0,0.0
ESPORTSTMNT03_3086486,38,bot,5,5,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,35999,872.3506,0.289365,546.3489,20,0.4847,11,9,48,1.1632,16779,11452,277.5121,0.237508,16375,334.0,306.0,28,8.0937,3032.0,3230.0,76.0,-405.0,-12.0,0.0,0.0,1.0,4925.0,6150.0,137.0,-287.0,-15.0,0.0,0.0,1.0,1.0
ESPORTSTMNT03_3086486,28,sup,0,2,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13720,332.4717,0.110283,411.3489,72,1.7447,18,29,128,3.1018,9861,4534,109.8708,0.0940372,9425,31.0,26.0,5,0.7512,1993.0,1971.0,4.0,-77.0,2.0,0.0,0.0,0.0,2957.0,3312.0,11.0,223.0,6.0,0.0,0.0,0.0,0.0
ESPORTSTMNT03_3087532,46,top,6,1,2,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,13140,458.3721,0.191576,802.6047,10,0.3488,7,5,36,1.2558,13668,9884,344.7907,0.249058,13250,287.0,263.0,24,10.0116,3480.0,4711.0,78.0,-32.0,6.0,1.0,0.0,0.0,5623.0,7599.0,136.0,-96.0,18.0,1.0,0.0,0.0,0.0
ESPORTSTMNT03_3087532,44,jng,1,0,8,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,13375,466.5698,0.195002,839.8256,11,0.3837,10,9,51,1.7791,10532,6748,235.3953,0.170033,9460,169.0,25.0,144,5.8953,3584.0,3579.0,61.0,469.0,-4.0,0.0,1.0,0.0,5137.0,5266.0,94.0,156.0,-2.0,0.0,1.0,0.0,0.0
ESPORTSTMNT03_3087532,11,mid,5,0,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29743,1037.5465,0.433641,658.3953,10,0.3488,9,5,39,1.3605,13809,10025,349.7093,0.252611,12425,284.0,272.0,12,9.907,3593.0,4783.0,92.0,223.0,18.0,0.0,0.0,0.0,5815.0,7646.0,149.0,654.0,32.0,0.0,0.0,0.0,0.0
ESPORTSTMNT03_3087532,34,bot,2,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8958,312.4884,0.130604,383.686,9,0.314,11,2,33,1.1512,13004,9220,321.6279,0.232325,10850,221.0,198.0,23,7.7093,3018.0,2825.0,75.0,-551.0,1.0,0.0,0.0,0.0,4699.0,4725.0,119.0,-977.0,-1.0,0.0,0.0,1.0,1.0
ESPORTSTMNT03_3087532,47,sup,1,2,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3373,117.6628,0.049177,145.814,40,1.3953,15,13,81,2.8256,7593,3809,132.8721,0.0959732,7125,15.0,15.0,0,0.5233,1883.0,2312.0,2.0,-92.0,0.0,0.0,0.0,2.0,2992.0,3532.0,6.0,30.0,1.0,0.0,0.0,2.0,2.0
ESPORTSTMNT03_3087532,43,top,0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11669,407.0581,0.271145,780.8023,13,0.4535,5,5,31,1.0814,10165,6381,222.593,0.247848,9525,225.0,225.0,0,7.8488,3025.0,4743.0,72.0,32.0,-6.0,0.0,0.0,1.0,4983.0,7695.0,118.0,96.0,-18.0,0.0,0.0,1.0,1.0
ESPORTSTMNT03_3087532,37,jng,0,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3840,133.9535,0.0892276,817.4651,9,0.314,13,7,50,1.7442,8023,4239,147.8721,0.164644,7100,156.0,16.0,140,5.4419,2998.0,3110.0,65.0,-469.0,4.0,0.0,1.0,0.0,4454.0,5110.0,96.0,-156.0,2.0,0.0,1.0,0.0,0.0
