gameid,ban_blue1,ban_blue2,ban_blue3,ban_blue4,ban_blue5,top_blue,jng_blue,mid_blue,bot_blue,sup_blue,ban_red1,ban_red2,ban_red3,ban_red4,ban_red5,top_red,jng_red,mid_red,bot_red,sup_red
ESPORTSTMNT01_2695708,27,18,35,103,96,74,105,16,7,60,47,93,97,36,13,2,112,65,34,48
ESPORTSTMNT01_2695774,35,97,13,106,88,96,105,103,36,48,61,16,18,47,33,27,112,65,34,55
ESPORTSTMNT01_2695807,119,74,97,34,20,26,47,106,13,60,16,33,2,42,32,27,112,46,84,38
ESPORTSTMNT01_2695835,47,48,97,60,71,25,105,16,20,116,93,13,35,12,38,27,112,2,77,72
ESPORTSTMNT01_2696159,97,48,103,46,2,26,31,121,13,53,27,16,93,14,74,33,105,106,34,38
ESPORTSTMNT01_2696199,93,106,16,121,32,66,91,97,35,48,27,47,18,14,31,0,112,88,13,53
ESPORTSTMNT01_2696249,36,20,96,33,112,32,47,16,7,60,97,35,13,27,74,14,68,40,34,48
ESPORTSTMNT01_2696303,74,96,87,53,93,2,31,106,34,48,47,16,97,33,60,27,112,103,13,58
ESPORTSTMNT01_2697844,27,106,13,42,35,74,112,16,34,60,47,93,33,71,12,108,105,87,7,48
ESPORTSTMNT01_2697879,13,33,106,121,88,27,112,9,100,48,74,16,97,34,119,42,47,103,7,93
ESPORTSTMNT02_2552109,13,48,35,52,74,14,112,22,79,89,97,16,27,65,121,25,47,106,7,72
ESPORTSTMNT02_2552154,97,93,13,27,74,14,112,103,36,22,79,16,18,71,60,21,47,106,7,48
ESPORTSTMNT02_2552213,74,97,105,116,122,33,31,121,7,93,47,16,13,27,2,14,112,88,20,12
ESPORTSTMNT02_2552248,46,27,97,42,24,74,108,103,7,93,16,13,2,31,18,25,105,106,35,48
ESPORTSTMNT02_2552282,2,27,48,93,0,81,47,97,35,60,16,74,13,14,105,32,112,87,7,89
ESPORTSTMNT02_2552610,33,93,16,46,42,66,31,106,13,53,97,27,74,22,14,107,47,88,34,48
ESPORTSTMNT02_2552653,97,46,105,76,60,27,31,65,35,93,13,106,16,47,121,26,112,103,7,38
ESPORTSTMNT02_2552740,47,48,97,103,106,25,112,65,79,89,16,13,35,88,121,26,105,9,34,60
ESPORTSTMNT02_2552773,103,13,79,2,33,27,105,88,7,60,16,97,74,65,113,96,112,106,35,48
ESPORTSTMNT02_2552817,47,31,27,87,32,26,68,97,79,89,16,13,74,2,14,29,112,46,35,48
ESPORTSTMNT02_2575812,27,97,13,2,0,66,112,88,35,93,16,118,103,65,9,14,31,106,79,89
ESPORTSTMNT02_2575865,79,27,46,87,93,24,47,97,35,12,118,13,16,68,60,74,31,22,7,48
ESPORTSTMNT02_2575902,74,97,16,2,14,27,64,106,118,116,47,13,93,68,31,42,112,103,7,71
ESPORTSTMNT02_2575922,27,48,118,24,42,74,47,106,7,60,97,13,16,121,31,33,112,9,35,12
ESPORTSTMNT02_2556220,74,97,13,22,76,33,31,103,118,116,106,47,16,64,27,14,112,46,35,60
ESPORTSTMNT02_2556267,96,27,35,46,2,26,31,76,13,53,97,16,118,66,106,33,112,103,34,11
ESPORTSTMNT02_2556322,79,46,116,112,14,26,68,97,7,93,13,16,118,2,33,27,47,76,35,60
ESPORTSTMNT02_2556364,103,112,97,68,0,25,47,65,118,52,16,13,27,60,71,74,64,106,51,116
ESPORTSTMNT02_2558340,79,112,38,33,2,27,47,46,35,93,16,13,118,76,103,25,31,106,7,60
ESPORTSTMNT02_2558353,76,27,97,33,29,66,105,88,35,89,13,16,118,103,14,81,112,65,7,71
ESPORTSTMNT03_2562201,79,116,13,93,30,74,31,103,35,71,27,97,118,60,48,57,112,76,7,38
ESPORTSTMNT03_2562244,18,2,13,46,32,14,112,121,35,89,118,27,97,33,65,17,47,106,7,52
ESPORTSTMNT03_2562289,76,106,33,7,34,26,108,121,35,38,118,13,27,24,87,74,112,97,100,60
ESPORTSTMNT03_2562322,33,47,27,88,103,24,95,76,34,38,118,97,93,31,108,74,112,121,13,53
