,gameid,gamelength,teamblueid,teamredid,blue_kills,red_kills,blue_kpm,red_kpm,ckpm,result
0,ESPORTSTMNT01_2695708,2320,4,0,19,17,0.4914,0.4397,0.931,1
1,ESPORTSTMNT01_2695774,2152,9,1,21,7,0.5855,0.1952,0.7807,1
2,ESPORTSTMNT01_2695807,1587,11,12,15,7,0.5671,0.2647,0.8318,1
3,ESPORTSTMNT01_2695835,2336,10,5,14,17,0.3596,0.4366,0.7962,0
4,ESPORTSTMNT01_2696159,1655,7,10,16,3,0.5801,0.1088,0.6888,1
5,ESPORTSTMNT01_2696199,2351,5,4,20,13,0.5104,0.3318,0.8422,1
6,ESPORTSTMNT01_2696249,2748,12,9,15,21,0.3275,0.4585,0.786,0
7,ESPORTSTMNT01_2696303,2021,1,0,11,20,0.3266,0.5938,0.9203,0
8,ESPORTSTMNT01_2697844,1543,2,7,20,5,0.7777,0.1944,0.9721,1
9,ESPORTSTMNT01_2697879,1889,2,11,8,22,0.2541,0.6988,0.9529,0
10,ESPORTSTMNT02_2552109,2241,5,7,13,19,0.3481,0.5087,0.8568,0
11,ESPORTSTMNT02_2552154,1981,9,2,15,8,0.4543,0.2423,0.6966,1
12,ESPORTSTMNT02_2552213,1790,11,10,22,6,0.7374,0.2011,0.9385,1
13,ESPORTSTMNT02_2552248,1585,0,12,14,2,0.53,0.0757,0.6057,1
14,ESPORTSTMNT02_2552282,1939,4,1,13,14,0.4023,0.4332,0.8355,1
15,ESPORTSTMNT02_2552610,1653,5,11,21,11,0.7623,0.3993,1.1615,1
16,ESPORTSTMNT02_2552653,2120,7,4,26,10,0.7358,0.283,1.0189,1
17,ESPORTSTMNT02_2552740,2167,10,9,18,9,0.4984,0.2492,0.7476,1
18,ESPORTSTMNT02_2552773,1921,2,0,9,15,0.2811,0.4685,0.7496,0
19,ESPORTSTMNT02_2552817,1957,12,1,13,2,0.3986,0.0613,0.4599,1
20,ESPORTSTMNT02_2575812,1810,9,5,8,18,0.2652,0.5967,0.8619,0
21,ESPORTSTMNT02_2575865,1540,4,12,10,2,0.3896,0.0779,0.4675,1
22,ESPORTSTMNT02_2575902,1683,11,7,25,9,0.8913,0.3209,1.2121,1
23,ESPORTSTMNT02_2575922,2196,1,2,6,14,0.1639,0.3825,0.5464,0
24,ESPORTSTMNT02_2556220,1551,11,4,24,9,0.9284,0.3482,1.2766,1
25,ESPORTSTMNT02_2556267,1633,5,0,4,11,0.147,0.4042,0.5511,0
26,ESPORTSTMNT02_2556322,1878,2,12,4,16,0.1278,0.5112,0.639,0
27,ESPORTSTMNT02_2556364,1886,7,9,17,3,0.5408,0.0954,0.6363,1
28,ESPORTSTMNT02_2558340,1825,0,10,24,14,0.789,0.4603,1.2493,1
29,ESPORTSTMNT02_2558353,2420,10,1,10,20,0.2479,0.4959,0.7438,0
30,ESPORTSTMNT03_2562201,1619,12,10,7,17,0.2594,0.63,0.8894,0
31,ESPORTSTMNT03_2562244,2356,1,5,19,10,0.4839,0.2547,0.7385,1
32,ESPORTSTMNT03_2562289,2137,0,7,14,12,0.3931,0.3369,0.73,1
33,ESPORTSTMNT03_2562322,1996,4,2,16,6,0.481,0.1804,0.6613,1
34,ESPORTSTMNT03_2562354,1706,9,11,10,19,0.3517,0.6682,1.0199,0
35,ESPORTSTMNT03_2542608,2094,7,1,21,13,0.6017,0.3725,0.9742,1
36,ESPORTSTMNT03_2542652,1843,11,0,7,15,0.2279,0.4883,0.7162,0
37,ESPORTSTMNT03_2542716,2287,9,4,15,18,0.3935,0.4722,0.8658,0
38,ESPORTSTMNT03_2542777,1351,5,12,30,8,1.3323,0.3553,1.6876,1
39,ESPORTSTMNT03_2542841,1838,10,2,5,14,0.1632,0.457,0.6202,0
40,ESPORTSTMNT03_2566738,2458,0,9,16,22,0.3906,0.537,0.9276,0
41,ESPORTSTMNT03_2566789,1863,2,5,8,21,0.2576,0.6763,0.934,0
42,ESPORTSTMNT03_2566823,1768,1,11,4,16,0.1357,0.543,0.6787,0
43,ESPORTSTMNT03_2566834,1903,4,10,20,8,0.6306,0.2522,0.8828,1
44,ESPORTSTMNT03_2566875,1821,12,7,6,17,0.1977,0.5601,0.7578,0
45,ESPORTSTMNT03_2567303,1451,5,10,15,7,0.6203,0.2895,0.9097,1
46,ESPORTSTMNT03_2567360,1824,12,11,30,15,0.9868,0.4934,1.4803,1
47,ESPORTSTMNT03_2567414,2139,7,2,16,13,0.4488,0.3647,0.8135,1
48,ESPORTSTMNT03_2567462,1911,1,9,6,13,0.1884,0.4082,0.5965,0
49,ESPORTSTMNT03_2567516,1794,0,4,2,16,0.0669,0.5351,0.602,0
50,ESPORTSTMNT01_2731643,1887,0,1,19,7,0.6041,0.2226,0.8267,1
51,ESPORTSTMNT01_2731682,2338,4,5,13,25,0.3336,0.6416,0.9752,0
52,ESPORTSTMNT01_2731711,1518,10,7,17,11,0.6719,0.4348,1.1067,1
53,ESPORTSTMNT01_2731745,1685,11,2,6,19,0.2136,0.6766,0.8902,0
54,ESPORTSTMNT01_2731791,1889,9,12,15,13,0.4764,0.4129,0.8894,1
55,ESPORTSTMNT01_2742201,2156,1,4,14,9,0.3896,0.2505,0.6401,1
56,ESPORTSTMNT01_2742246,1748,12,0,17,16,0.5835,0.5492,1.1327,0
57,ESPORTSTMNT01_2742333,1409,2,9,23,5,0.9794,0.2129,1.1923,1
58,ESPORTSTMNT01_2742361,2215,7,5,12,16,0.3251,0.4334,0.7585,0
59,ESPORTSTMNT01_2742426,1972,10,11,20,16,0.6085,0.4868,1.0953,0
60,ESPORTSTMNT01_2770585,2272,0,2,21,16,0.5546,0.4225,0.9771,1
61,ESPORTSTMNT01_2770628,2493,4,7,21,11,0.5054,0.2647,0.7702,1
62,ESPORTSTMNT01_2770671,1952,1,12,14,8,0.4303,0.2459,0.6762,1
63,ESPORTSTMNT01_2770695,1598,9,10,27,14,1.0138,0.5257,1.5394,1
64,ESPORTSTMNT01_2781109,1451,12,4,5,18,0.2068,0.7443,0.9511,0
65,ESPORTSTMNT01_2781166,2106,2,1,19,12,0.5413,0.3419,0.8832,1
66,ESPORTSTMNT01_2781212,1951,5,9,22,14,0.6766,0.4305,1.1071,1
67,ESPORTSTMNT01_2781245,1919,7,11,9,23,0.2814,0.7191,1.0005,0
68,ESPORTSTMNT01_2781270,2230,10,0,32,17,0.861,0.4574,1.3184,1
69,ESPORTSTMNT01_2783230,1991,11,5,21,13,0.6328,0.3918,1.0246,1
70,ESPORTSTMNT02_2660083,2203,9,7,23,14,0.6264,0.3813,1.0077,1
71,ESPORTSTMNT02_2660115,2712,1,10,15,22,0.3319,0.4867,0.8186,0
72,ESPORTSTMNT02_2660149,2772,4,11,14,20,0.303,0.4329,0.7359,0
73,ESPORTSTMNT02_2660180,2300,0,5,13,5,0.3391,0.1304,0.4696,1
74,ESPORTSTMNT02_2660207,1614,12,2,4,16,0.1487,0.5948,0.7435,0
75,ESPORTSTMNT02_2660440,2194,11,9,31,31,0.8478,0.8478,1.6955,0
76,ESPORTSTMNT02_2660501,1899,10,12,12,14,0.3791,0.4423,0.8215,1
77,ESPORTSTMNT02_2660536,1518,5,1,7,19,0.2767,0.751,1.0277,0
78,ESPORTSTMNT02_2660574,2333,2,4,22,17,0.5658,0.4372,1.003,1
79,ESPORTSTMNT02_2660639,2354,7,0,14,5,0.3568,0.1274,0.4843,1
80,ESPORTSTMNT03_2651434,1861,2,10,17,9,0.5481,0.2902,0.8383,1
81,ESPORTSTMNT03_2651447,1782,0,11,3,16,0.101,0.5387,0.6397,0
82,ESPORTSTMNT03_2651460,1653,1,7,4,15,0.1452,0.5445,0.6897,0
83,ESPORTSTMNT03_2651473,2457,12,5,15,14,0.3663,0.3419,0.7082,0
84,ESPORTSTMNT03_2651501,1898,4,9,6,21,0.1897,0.6639,0.8535,0
85,ESPORTSTMNT03_2631752,1512,7,12,17,7,0.6746,0.2778,0.9524,1
86,ESPORTSTMNT03_2631762,2408,10,4,24,30,0.598,0.7475,1.3455,0
87,ESPORTSTMNT03_2631796,1998,9,0,20,31,0.6006,0.9309,1.5315,0
88,ESPORTSTMNT03_2631825,1867,11,1,20,12,0.6427,0.3856,1.0284,1
89,ESPORTSTMNT03_2631856,1835,5,2,8,21,0.2616,0.6866,0.9482,0
90,ESPORTSTMNT03_2653081,2083,9,7,8,19,0.2304,0.5473,0.7777,0
91,ESPORTSTMNT03_2653100,2651,7,9,20,13,0.4527,0.2942,0.7469,1
92,ESPORTSTMNT03_2653118,2066,7,9,18,6,0.5227,0.1742,0.697,1
93,ESPORTSTMNT03_2633616,1867,11,5,15,7,0.4821,0.225,0.707,1
94,ESPORTSTMNT03_2633644,1866,5,11,6,16,0.1929,0.5145,0.7074,0
95,ESPORTSTMNT03_2633657,1818,5,11,18,29,0.5941,0.9571,1.5512,0
96,ESPORTSTMNT03_2653763,1703,2,0,18,8,0.6342,0.2819,0.916,1
97,ESPORTSTMNT03_2653778,2487,0,2,18,18,0.4343,0.4343,0.8685,1
98,ESPORTSTMNT03_2653794,2402,0,2,21,16,0.5246,0.3997,0.9242,1
99,ESPORTSTMNT03_2653842,2334,2,0,18,16,0.4627,0.4113,0.874,1
100,ESPORTSTMNT03_2653869,2406,0,2,7,17,0.1746,0.4239,0.5985,0
101,ESPORTSTMNT03_2655697,2009,5,7,7,13,0.2091,0.3883,0.5973,0
102,ESPORTSTMNT03_2635924,2093,5,7,21,7,0.602,0.2007,0.8027,1
103,ESPORTSTMNT03_2635930,2309,7,5,13,22,0.3378,0.5717,0.9095,0
104,ESPORTSTMNT03_2635949,1275,7,5,16,3,0.7529,0.1412,0.8941,1
105,ESPORTSTMNT03_2635970,2007,5,7,22,13,0.6577,0.3886,1.0463,1
106,ESPORTSTMNT03_2655923,1992,11,2,9,20,0.2711,0.6024,0.8735,0
107,ESPORTSTMNT03_2655944,2408,11,2,12,25,0.299,0.6229,0.9219,0
108,ESPORTSTMNT03_2655962,1665,2,11,24,6,0.8649,0.2162,1.0811,1
109,ESPORTSTMNT03_2657090,1888,0,5,7,22,0.2225,0.6992,0.9216,0
110,ESPORTSTMNT03_2657101,2216,5,0,10,16,0.2708,0.4332,0.704,0
111,ESPORTSTMNT03_2657112,2543,5,0,18,9,0.4247,0.2123,0.637,1
112,ESPORTSTMNT03_2657120,1976,5,0,24,14,0.7287,0.4251,1.1538,1
113,ESPORTSTMNT03_2637518,2103,5,11,21,24,0.5991,0.6847,1.2839,0
114,ESPORTSTMNT03_2637520,1585,5,11,24,8,0.9085,0.3028,1.2114,1
115,ESPORTSTMNT03_2637524,2370,5,11,21,17,0.5316,0.4304,0.962,1
116,ESPORTSTMNT03_2637527,2275,11,5,13,30,0.3429,0.7912,1.1341,0
117,ESPORTSTMNT03_2658136,1735,5,2,9,26,0.3112,0.8991,1.2104,0
