gameid,playoffs,game,patch,top_blue,jng_blue,mid_blue,bot_blue,sup_blue,teamid_blue,top_red,jng_red,mid_red,bot_red,sup_red,teamid_red,result
ESPORTSTMNT01_2695708,0,1,12.01,13,63,62,55,70,4,34,65,61,48,1,0,1
ESPORTSTMNT01_2695774,0,1,12.01,33,41,66,78,24,9,38,28,51,4,31,1,1
ESPORTSTMNT01_2695807,0,1,12.01,22,20,57,68,40,11,23,36,12,3,45,12,1
ESPORTSTMNT01_2695835,0,1,12.01,14,53,73,52,27,10,71,42,76,8,25,5,0
ESPORTSTMNT01_2696159,0,1,12.01,35,54,0,2,77,7,14,53,73,52,27,10,1
ESPORTSTMNT01_2696199,0,1,12.01,71,42,76,8,25,5,13,63,62,55,70,4,1
ESPORTSTMNT01_2696249,0,1,12.01,23,36,12,3,45,12,33,41,66,78,24,9,0
ESPORTSTMNT01_2696303,0,1,12.01,38,28,51,4,31,1,34,65,61,48,1,0,0
ESPORTSTMNT01_2697844,0,1,12.01,46,10,5,69,67,2,35,54,0,2,77,7,1
ESPORTSTMNT01_2697879,0,1,12.01,46,10,5,69,67,2,22,20,57,68,40,11,0
ESPORTSTMNT02_2552109,0,1,12.02,71,42,76,8,25,5,35,54,0,2,77,7,0
ESPORTSTMNT02_2552154,0,1,12.02,33,41,66,78,24,9,46,10,5,69,67,2,1
ESPORTSTMNT02_2552213,0,1,12.02,22,20,57,68,40,11,14,53,73,52,27,10,1
ESPORTSTMNT02_2552248,0,1,12.02,34,65,61,48,1,0,23,36,12,3,45,12,1
ESPORTSTMNT02_2552282,0,1,12.02,13,63,62,55,70,4,38,28,51,4,39,1,1
ESPORTSTMNT02_2552610,0,1,12.02,71,42,76,8,25,5,22,20,57,68,40,11,1
ESPORTSTMNT02_2552653,0,1,12.02,35,54,0,2,77,7,13,63,62,55,70,4,1
ESPORTSTMNT02_2552740,0,1,12.02,14,53,73,52,27,10,33,41,66,78,24,9,1
